('Date', 'Date');('Other', 'tournament-name');('Player', 'p1');('Player', 'p2');('Other', 'maxOdds_1');('Other', 'maxOdds_2');('modelPred', '');confIndexModel_p1;confIndexModel_p2;confIndexModel_max;modelProba1;modelProba2;probaModel_max;valueBetModel;PL_valueBetModel;PL_favoriteBetModel;CUMSUM FAV;OddFav;;ROI;4.64%
2022-08-30 16:50:00;ATP US Open 2022 (hard);Vesely J.;Evans D.;3.5;1.36;1;2.24;0.4896;2.24;0.64;0.36;0.64;1;-1;-1;4.54;3.5;;;
2022-08-30 16:50:00;ATP US Open 2022 (hard);Duckworth J.;O'Connell C.;2.54;1.58;2;0.9144;1.0112;1.0112;0.36;0.64;0.64;2;-1;-1;3.54;1.58;;;
2022-08-30 16:55:00;ATP US Open 2022 (hard);Verdasco F.;Kwon S.;3.32;1.45;2;0.5312;1.218;1.218;0.16;0.84;0.84;2;0.45;0.45;3.99;1.45;;;
2022-08-30 17:25:00;ATP US Open 2022 (hard);Gojowczyk P.;Rune H.;4.15;1.32;2;0.996;1.0032;1.0032;0.24;0.76;0.76;2;0.32;0.32;4.31;1.32;;;
2022-08-30 17:35:00;ATP US Open 2022 (hard);Djere L.;Rublev A.;8;1.16;2;2.24;0.8352;2.24;0.28;0.72;0.72;1;-1;0.16;4.47;1.16;;;
2022-08-30 17:45:00;ATP US Open 2022 (hard);Kecmanovic M.;Tien L.;1.03;30.12;1;0.9064;3.6144;3.6144;0.88;0.12;0.88;2;-1;0.03;4.5;1.03;;;
2022-08-30 17:55:00;ATP US Open 2022 (hard);Griekspoor T.;Coria F.;1.11;8.17;1;0.9324;1.3072;1.3072;0.84;0.16;0.84;2;7.17;-1;3.5;1.11;;;
2022-08-30 18:50:00;ATP US Open 2022 (hard);Martinez P.;Eubanks C.;2.19;1.88;2;0.7008;1.2784;1.2784;0.32;0.68;0.68;2;0.88;0.88;4.38;1.88;;;
2022-08-30 19:00:00;ATP US Open 2022 (hard);Coric B.;Couacaud E.;1.16;6.67;1;0.8816;1.6008;1.6008;0.76;0.24;0.76;2;-1;0.16;4.54;1.16;;;
2022-08-30 21:35:00;ATP US Open 2022 (hard);Hurkacz H.;Otte O.;1.18;6.1;1;0.7552;2.196;2.196;0.64;0.36;0.64;2;-1;0.18;4.72;1.18;;;
2022-08-30 22:00:00;ATP US Open 2022 (hard);Popyrin A.;Tseng C. H.;2.17;1.83;2;0.6944;1.2444;1.2444;0.32;0.68;0.68;2;-1;-1;3.72;1.83;;;
