('Date', 'Date');('Other', 'tournament-name');('Player', 'p1');('Player', 'p2');('Other', 'maxOdds_1');('Other', 'maxOdds_2');('modelPred', '');confIndexModel_p1;confIndexModel_p2;confIndexModel_max;modelProba1;modelProba2;probaModel_max;valueBetModel;PL_valueBetModel;PL_favoriteBetModel;CUMSUM FAV;OddFav;;ROI;2.68%
2022-08-23 17:40:00;ATP US Open 2022 (hard);Escoffier A.;De Jong J.;2.1;1.85;2;0.798;1.147;1.147;0.38;0.62;0.62;2;0.85;0.85;17.9;1.85;;;
2022-08-23 18:10:00;ATP Winston-Salem 2022 (hard);Ivashka I.;Gojowczyk P.;1.22;5.31;1;0.7564;2.0178;2.0178;0.62;0.38;0.62;2;-1;0.22;18.12;1.22;;;
2022-08-23 18:35:00;ATP Winston-Salem 2022 (hard);Djere L.;Sousa J.;1.69;2.38;2;0.7436;1.3328;1.3328;0.44;0.56;0.56;2;-1;-1;17.12;2.38;;;
2022-08-23 18:50:00;ATP US Open 2022 (hard);Dutra Da Silva D.;Marterer M.;6.36;1.15;1;3.816;0.46;3.816;0.6;0.4;0.6;1;-1;-1;16.12;6.36;;;
2022-08-23 19:05:00;ATP Winston-Salem 2022 (hard);Kubler J.;Kwon S.;1.81;2.12;2;0.6516;1.3568;1.3568;0.36;0.64;0.64;2;-1;-1;15.12;2.12;;;
2022-08-23 19:05:00;ATP US Open 2022 (hard);Taberner C.;Tirante T. A.;1.87;2.14;1;1.2342;0.7276;1.2342;0.66;0.34;0.66;1;0.87;0.87;15.99;1.87;;;
2022-08-23 19:35:00;ATP US Open 2022 (hard);Cassone M.;Broady L.;3.87;1.28;2;1.7028;0.7168;1.7028;0.44;0.56;0.56;1;-1;0.28;16.27;1.28;;;
2022-08-23 19:45:00;ATP Winston-Salem 2022 (hard);Ramos A.;Millman J.;2.44;1.64;2;0.6832;1.1808;1.1808;0.28;0.72;0.72;2;-1;-1;15.27;1.64;;;
2022-08-23 20:00:00;ATP US Open 2022 (hard);Misolic F.;Damm M.;1.75;2.25;1;0.98;0.99;0.99;0.56;0.44;0.56;2;-1;0.75;16.02;1.75;;;
2022-08-23 20:10:00;ATP Winston-Salem 2022 (hard);Duckworth J.;Cressy M.;2.9;1.5;1;1.624;0.66;1.624;0.56;0.44;0.56;1;-1;-1;15.02;2.9;;;
2022-08-23 21:00:00;ATP US Open 2022 (hard);Moutet C.;Serdarusic N.;1.29;4.14;2;0.5676;2.3184;2.3184;0.44;0.56;0.56;2;-1;-1;14.02;4.14;;;
